Task,Region,Confirmed,Deaths,Recovered,Details
Region Summary,Africa,723207,12223,440645,Summary of cases by region
Region Summary,Americas,8839286,342732,4468616,Summary of cases by region
Region Summary,Eastern Mediterranean,1490744,38339,1201400,Summary of cases by region
Region Summary,Europe,3299523,211144,1993723,Summary of cases by region
Region Summary,South-East Asia,1835297,41349,1156933,Summary of cases by region
Region Summary,Western Pacific,292428,8249,206770,Summary of cases by region
High Case Countries,All,N/A,N/A,N/A,Countries with ≥10 cases: 187
Highest Confirmed Region,Americas,8839286,N/A,N/A,Region with most confirmed cases
Sorted Cases (Top 5),US,4290259,148011,1325804,Countries sorted by confirmed cases
Sorted Cases (Top 5),Brazil,2442375,87618,1846641,Countries sorted by confirmed cases
Sorted Cases (Top 5),India,1480073,33408,951166,Countries sorted by confirmed cases
Sorted Cases (Top 5),Russia,816680,13334,602249,Countries sorted by confirmed cases
Sorted Cases (Top 5),South Africa,452529,7067,274925,Countries sorted by confirmed cases
Top 5 Countries,US,4290259,N/A,N/A,Top 5 countries by confirmed cases
Top 5 Countries,Brazil,2442375,N/A,N/A,Top 5 countries by confirmed cases
Top 5 Countries,India,1480073,N/A,N/A,Top 5 countries by confirmed cases
Top 5 Countries,Russia,816680,N/A,N/A,Top 5 countries by confirmed cases
Top 5 Countries,South Africa,452529,N/A,N/A,Top 5 countries by confirmed cases
Lowest Death Region,Western Pacific,N/A,8249,N/A,Region with lowest death count
India Summary,India,1480073,33408,951166,COVID-19 summary for India
Mortality Rates,Africa,N/A,N/A,N/A,Mortality Rate: 1.69%
Mortality Rates,Americas,N/A,N/A,N/A,Mortality Rate: 3.88%
Mortality Rates,Eastern Mediterranean,N/A,N/A,N/A,Mortality Rate: 2.57%
Mortality Rates,Europe,N/A,N/A,N/A,Mortality Rate: 6.40%
Mortality Rates,South-East Asia,N/A,N/A,N/A,Mortality Rate: 2.25%
Mortality Rates,Western Pacific,N/A,N/A,N/A,Mortality Rate: 2.82%
Recovery Rates,Africa,N/A,N/A,N/A,Recovery Rate: 60.93%
Recovery Rates,Americas,N/A,N/A,N/A,Recovery Rate: 50.55%
Recovery Rates,Eastern Mediterranean,N/A,N/A,N/A,Recovery Rate: 80.59%
Recovery Rates,Europe,N/A,N/A,N/A,Recovery Rate: 60.42%
Recovery Rates,South-East Asia,N/A,N/A,N/A,Recovery Rate: 63.04%
Recovery Rates,Western Pacific,N/A,N/A,N/A,Recovery Rate: 70.71%
Outliers,Brazil,2442375,N/A,N/A,Countries with unusual case counts
Outliers,India,1480073,N/A,N/A,Countries with unusual case counts
Outliers,US,4290259,N/A,N/A,Countries with unusual case counts
Country-Region Groups,Africa - Algeria,27973,1163,18837,Grouped statistics by country and region
Country-Region Groups,Africa - Angola,950,41,242,Grouped statistics by country and region
Country-Region Groups,Africa - Benin,1770,35,1036,Grouped statistics by country and region
Country-Region Groups,Africa - Botswana,739,2,63,Grouped statistics by country and region
Country-Region Groups,Africa - Burkina Faso,1100,53,926,Grouped statistics by country and region
Country-Region Groups,Africa - Burundi,378,1,301,Grouped statistics by country and region
Country-Region Groups,Africa - Cabo Verde,2328,22,1550,Grouped statistics by country and region
Country-Region Groups,Africa - Cameroon,17110,391,14539,Grouped statistics by country and region
Country-Region Groups,Africa - Central African Republic,4599,59,1546,Grouped statistics by country and region
Country-Region Groups,Africa - Chad,922,75,810,Grouped statistics by country and region
Country-Region Groups,Africa - Comoros,354,7,328,Grouped statistics by country and region
Country-Region Groups,Africa - Congo (Brazzaville),3200,54,829,Grouped statistics by country and region
Country-Region Groups,Africa - Congo (Kinshasa),8844,208,5700,Grouped statistics by country and region
Country-Region Groups,Africa - Cote d'Ivoire,15655,96,10361,Grouped statistics by country and region
Country-Region Groups,Africa - Equatorial Guinea,3071,51,842,Grouped statistics by country and region
Country-Region Groups,Africa - Eritrea,265,0,191,Grouped statistics by country and region
Country-Region Groups,Africa - Eswatini,2316,34,1025,Grouped statistics by country and region
Country-Region Groups,Africa - Ethiopia,14547,228,6386,Grouped statistics by country and region
Country-Region Groups,Africa - Gabon,7189,49,4682,Grouped statistics by country and region
Country-Region Groups,Africa - Gambia,326,8,66,Grouped statistics by country and region
Country-Region Groups,Africa - Ghana,33624,168,29801,Grouped statistics by country and region
Country-Region Groups,Africa - Guinea,7055,45,6257,Grouped statistics by country and region
Country-Region Groups,Africa - Guinea-Bissau,1954,26,803,Grouped statistics by country and region
Country-Region Groups,Africa - Kenya,17975,285,7833,Grouped statistics by country and region
Country-Region Groups,Africa - Lesotho,505,12,128,Grouped statistics by country and region
Country-Region Groups,Africa - Liberia,1167,72,646,Grouped statistics by country and region
Country-Region Groups,Africa - Madagascar,9690,91,6260,Grouped statistics by country and region
Country-Region Groups,Africa - Malawi,3664,99,1645,Grouped statistics by country and region
Country-Region Groups,Africa - Mali,2513,124,1913,Grouped statistics by country and region
Country-Region Groups,Africa - Mauritania,6208,156,4653,Grouped statistics by country and region
Country-Region Groups,Africa - Mauritius,344,10,332,Grouped statistics by country and region
Country-Region Groups,Africa - Mozambique,1701,11,0,Grouped statistics by country and region
Country-Region Groups,Africa - Namibia,1843,8,101,Grouped statistics by country and region
Country-Region Groups,Africa - Niger,1132,69,1027,Grouped statistics by country and region
Country-Region Groups,Africa - Nigeria,41180,860,18203,Grouped statistics by country and region
Country-Region Groups,Africa - Rwanda,1879,5,975,Grouped statistics by country and region
Country-Region Groups,Africa - Sao Tome and Principe,865,14,734,Grouped statistics by country and region
Country-Region Groups,Africa - Senegal,9764,194,6477,Grouped statistics by country and region
Country-Region Groups,Africa - Seychelles,114,0,39,Grouped statistics by country and region
Country-Region Groups,Africa - Sierra Leone,1783,66,1317,Grouped statistics by country and region
Country-Region Groups,Africa - South Africa,452529,7067,274925,Grouped statistics by country and region
